,symbol,year,EV,Market Cap,FCF,EBITDA,CapitalExpenditure,EnterprisesValueEBITDARatio,DilutedEPS,TotalRevenue,TotalAssets,TotalDebt,NetIncome,OperatingExpense,GrossProfit,deal
0,A,2020,32440330637.0,31475330637.0,802000000.0,1228000000.0,-119000000.0,27.5385,2.3,5339000000.0,9627000000.0,2359000000.0,719000000.0,1991000000.0,2837000000.0,0
1,A,2021,49105792983.0,47675792983.0,1297000000.0,1762000000.0,-188000000.0,30.9425,3.94,6319000000.0,10705000000.0,2729000000.0,1210000000.0,2060000000.0,3407000000.0,0
2,A,2022,42648250000.0,40813250000.0,1021000000.0,1905000000.0,-291000000.0,22.3641,4.18,6848000000.0,10532000000.0,2769000000.0,1254000000.0,2104000000.0,3722000000.0,0
3,A,2023,31656779422.0,30196779422.0,1474000000.0,1705000000.0,-298000000.0,18.0689,4.19,6833000000.0,10763000000.0,2735000000.0,1240000000.0,2115000000.0,3465000000.0,0
4,AA,2020,5090794490.0,4286794490.0,41000000.0,972000000.0,-353000000.0,8.017,-0.91,9286000000.0,14860000000.0,2624000000.0,-170000000.0,889000000.0,1317000000.0,0
5,AA,2021,11241662985.0,10968662985.0,530000000.0,2058000000.0,-390000000.0,5.1426,2.26,12152000000.0,15025000000.0,1866000000.0,429000000.0,960000000.0,2999000000.0,0
6,AA,2022,8339332892.0,8045332892.0,342000000.0,1425000000.0,-480000000.0,5.1669,-0.57,12451000000.0,14756000000.0,1866000000.0,-123000000.0,908000000.0,2239000000.0,0
7,AA,2023,6952044872.0,6068044872.0,-440000000.0,155000000.0,-531000000.0,44.851902,-3.65,10551000000.0,14155000000.0,1915000000.0,-651000000.0,965000000.0,738000000.0,0
8,AAL,2020,42721732061.0,9800732061.0,-8674000000.0,-7856000000.0,-2131000000.0,-5.438102,-18.36,17337000000.0,62008000000.0,41021000000.0,-8885000000.0,3852000000.0,-7226000000.0,1
9,AAL,2021,43752187606.0,11633187606.0,496000000.0,1587000000.0,-208000000.0,27.569116,-3.09,29882000000.0,66467000000.0,46177000000.0,-1993000000.0,5092000000.0,27000000.0,0
